Bin1	Bin2	Bin3	Bin4	Bin5	genes	q_value	p_value
1.7854e-05	2.2982e-05	2.7232e-05	3.6464e-05	2.4259e-05	Zcchc9	0.58167716091312	0.63271
1.1819e-05	1.4083e-05	1.0128e-05	1.7133e-05	1.2855e-05	Srp54b	0.186733081872239	0.026768
1.9697e-05	1.3375e-05	2.8493e-05	2.4248e-05	1.7093e-05	Tns3	0.670618556234908	0.96997
5.4622e-05	6.105e-05	7.4397e-05	5.0926e-05	5.9257e-05	Vezt	0.537843978887517	0.48462
0.0038861	0.003634	0.0037498	0.0038349	0.0040377	Plpp3	0.582296373314653	0.63383
0.00010499	0.00011486	9.4189e-05	0.00012702	9.2766e-05	Plpp7	0.582152262000624	0.6335
8.7342e-05	8.2865e-05	0.00012049	9.6871e-05	8.3272e-05	Gdpd1	0.500500616210765	0.37704
0.00014045	0.00014082	0.00018143	0.00014893	0.00018957	Gdpd2	0.150585944319238	0.016545
3.4486e-05	2.3199e-05	2.3502e-05	4.2996e-05	4.9392e-05	Mrs2	0.661746057516302	0.92522
1.6622e-06	2.0156e-06	1.4214e-06	1.7026e-06	1.7711e-06	AK157302	0.634640059668824	0.82382
0.00010688	9.0272e-05	0.00011188	8.1619e-05	0.00011249	Tm7sf2	0.434272524062921	0.24013
8.9363e-05	0.00011621	0.00013776	0.00010219	0.0001221	Tm7sf3	0.362805711775207	0.14887
0.00065172	0.00064056	0.00060065	0.0005803	0.0006457	Fads1	0.599227258477044	0.6959
0.00066763	0.00070051	0.00068237	0.0007875	0.00084612	Fads2	0.0125785196903309	0.0002469
0.00010481	0.00010289	8.7132e-05	8.4908e-05	0.0001209	Rtfdc1	0.303401169305077	0.088338
5.5369e-05	4.5666e-05	3.1156e-05	3.8233e-05	3.4846e-05	Senp3	0.474603577930306	0.30827
0.00010005	6.9635e-05	7.8228e-05	0.00010026	8.5878e-05	Mtss1l	0.588603397378013	0.65634
5.1063e-05	3.7605e-05	4.1651e-05	4.6376e-05	4.5023e-05	Senp7	0.516013988575328	0.41988
8.9191e-05	9.9615e-05	9.3453e-05	9.0929e-05	6.6526e-05	Cib1	0.286801841198526	0.077601
4.8856e-05	2.6338e-05	6.1708e-05	4.2397e-05	5.6853e-05	Iqsec1	0.521127013276812	0.429
0.00016837	0.00017517	0.00022653	0.000179	0.00016908	Ptchd2	0.421606702582052	0.21504
9.0922e-05	0.00010911	6.9379e-05	0.00011058	6.4025e-05	Ptchd4	0.451773451094331	0.2706
7.6722e-05	6.544e-05	9.3829e-05	7.7047e-05	7.1421e-05	Ccndbp1	0.553902101311229	0.54296
4.7239e-07	3.1003e-07	4.8385e-07	3.8662e-07	4.9258e-07	Rpl13-ps6	0.501316250038861	0.37929
7.3613e-05	0.00010129	0.00011328	6.1433e-05	7.6452e-05	1700123O20Rik	0.228214997339786	0.045071
9.3051e-05	9.2638e-05	8.8943e-05	7.4486e-05	8.9844e-05	Tob1	0.574153924910089	0.60533
0.00014293	0.00015754	0.00017405	0.00011951	0.00010318	Ddx17	0.359702812599228	0.14581
3.3567e-07	3.8892e-07	3.3837e-07	3.4155e-07	2.6368e-07	Rps15a-ps5	0.506268902491186	0.39624
7.8246e-07	2.401e-07	1.6801e-07	4.3242e-07	6.6684e-07	Rps15a-ps6	0.668145135535536	0.9546
5.5742e-06	7.5668e-07	8.835e-06	3.2385e-06	7.048e-06	Ddx23	0.344567295389333	0.12746
0.00018832	0.00018475	0.00019215	0.00019158	0.00020422	Psma1	0.644777320628178	0.8587
0.00011794	8.6593e-05	0.00012844	0.00011307	9.9597e-05	Ddx24	0.186103121645566	0.026548
0.00015881	0.00016788	0.00013953	0.00013694	0.00016686	Psma2	0.62708092660362	0.79684
0.00027184	0.00023348	0.00026196	0.00024762	0.00027043	Psma3	0.64607678034819	0.86735
7.7237e-05	5.296e-05	7.7039e-05	8.4625e-05	8.1709e-05	Psma4	0.569788199645229	0.59359
0.00013083	0.00016247	0.00012936	0.00014033	0.0001161	Psma5	0.533508287793602	0.46807
0.00015224	0.00015982	0.00017068	0.00013657	0.00018059	Psma6	0.411211157155534	0.20102
0.00012296	0.00013436	0.00015619	0.0001179	0.00013732	Psma7	0.445124937599077	0.25563
0.00018122	0.00020838	0.00015546	0.00017092	0.00019945	Sccpdh	0.255544166734304	0.058064
7.454e-07	5.7256e-07	6.364e-07	6.6539e-07	7.8156e-07	Gm13050	0.653552316109067	0.89302
0.00011053	9.6421e-05	7.1178e-05	0.0001111	0.00015148	Ipo13	0.619028668281602	0.76568
0.00017543	0.00010397	0.00010186	0.00015107	0.00020127	Araf	0.451136260136061	0.26977
0.00022581	0.00022131	0.00022092	0.00021076	0.00021282	Psmb1	0.674381366012839	0.99136
0.00019934	0.00021733	0.00020395	0.0002019	0.00021703	Psmb2	0.503844594499287	0.3884
0.00010606	0.00012124	0.00011522	7.7156e-05	0.00012537	Psmb3	0.211790932326338	0.035525
0.00012506	0.00012825	0.00011813	0.00012555	0.00013651	Psmb4	0.465251526004473	0.29328
9.5171e-05	8.3405e-05	9.6701e-05	8.2307e-05	8.4772e-05	Psmb5	0.56441996701663	0.5733
0.00022781	0.00028019	0.00021215	0.0002088	0.00025099	Psmb6	0.359374414092208	0.14518
6.2064e-05	9.2646e-05	0.0001224	9.5239e-05	7.6791e-05	Ddx39	0.465151091230251	0.293
4.5804e-05	4.0839e-05	4.4484e-05	4.4829e-05	5.492e-05	Psmb7	0.590053062676259	0.66105
6.7531e-05	6.747e-05	7.6642e-05	9.3316e-05	8.7342e-05	Ddx42	0.601489799004058	0.70964
0.00015684	0.00018583	0.00015491	0.00014197	0.00016722	Psmc1	0.335286597112634	0.11538
0.00011058	0.00011197	0.0001258	0.00013308	0.00010468	Psmc2	0.585264167829909	0.64694
3.2371e-05	3.4433e-05	3.4768e-05	2.1529e-05	3.4495e-05	Ddx46	0.364262518371266	0.15145
0.0001894	0.00019498	0.0002015	0.00023068	0.00020974	Psmc3	0.359374414092208	0.14399
8.8686e-05	9.443e-05	8.8774e-05	0.00011708	7.096e-05	Ddx47	0.583425131786913	0.63957
0.00015693	0.00013711	0.00015639	0.00016219	0.00018161	Psmc4	0.419593367496035	0.21289
0.00019372	0.00017778	0.00016683	0.0001976	0.00014229	Psmc5	0.653353620484484	0.89003
0.00013337	8.2998e-05	8.5832e-05	0.0001107	0.00012895	Psmc6	0.67061740479945	0.96889
3.3755e-05	3.5552e-05	1.7134e-05	2.5765e-05	3.0458e-05	Dpy30	0.554743880066939	0.54495
0.0001077	0.00014055	0.00014471	0.00012457	0.00011198	Qars	0.433411750415123	0.23466
4.5048e-05	3.796e-05	5.3628e-05	5.1466e-05	3.7021e-05	Myeov2	0.266933151298615	0.065415
7.6371e-05	5.295e-05	5.0453e-05	7.4858e-05	4.8461e-05	Ddx50	0.542610259873687	0.51414
0.0001786	0.00017708	0.00012848	0.00018211	0.00023072	Psmd1	0.330284346617121	0.11198
0.00028431	0.00032694	0.00034243	0.00026769	0.00027361	Psmd2	0.40349078958048	0.19185
6.8996e-05	8.4298e-05	7.9277e-05	9.606e-05	7.8872e-05	Rbck1	0.579241135807543	0.62208
0.00010948	0.00013347	7.215e-05	0.00011413	9.0213e-05	Psmd3	0.451773451094331	0.2706
0.00016484	0.00015808	0.00013052	0.00019181	0.00012538	Psmd4	0.157596434459229	0.018373
0.00011106	0.00014774	0.00016368	0.00010706	9.701e-05	Psmd5	0.215095155616832	0.036527
0.0001433	0.00011831	0.00012904	0.00017361	0.00017435	Psmd6	0.481262312958656	0.32844
0.000137	0.00014635	0.00013217	0.00011004	0.00012637	Psmd7	0.44786794917901	0.26004
0.00015069	0.0001467	0.00012736	0.00016528	0.00014608	Psmd8	0.63316073720896	0.81611
0.00012894	0.00015802	0.00012956	9.0346e-05	0.00013162	Ddx3y	0.281545137475872	0.074271
6.6154e-05	4.6877e-05	4.3991e-05	6.0428e-05	6.8654e-05	Psmd9	0.660445282177767	0.92037
1.1888e-06	9.5501e-07	2.144e-06	1.2054e-06	9.8949e-07	Gm13080	0.593044325786217	0.67516
6.0678e-05	7.6233e-05	7.2131e-05	5.8652e-05	5.2542e-05	Sh3bp1	0.561202312706797	0.5623
3.4077e-05	4.498e-05	5.1293e-05	2.9317e-05	4.7775e-05	Psme2	0.355146150523047	0.13581
0.00038539	0.00039343	0.00042671	0.00036612	0.00038641	Arf1	0.643589531630641	0.85197
0.00038488	0.00038551	0.00032877	0.00036475	0.00038855	Arf4	0.576743135250386	0.61237
3.4131e-05	1.5404e-05	3.1123e-05	2.6565e-05	2.6646e-05	Cuedc1	0.560273314374906	0.55773
5.2175e-05	4.9262e-05	5.5152e-05	4.5334e-05	5.1685e-05	Arf5	0.59212396407855	0.67244
0.00013367	0.00011288	0.00010469	0.00010752	0.00012036	Cuedc2	0.663755213291902	0.93896
6.2015e-05	7.5996e-05	5.1393e-05	7.4736e-05	7.4457e-05	Psmg2	0.53984008533997	0.49835
7.6176e-06	8.4735e-06	6.8561e-06	8.6611e-06	6.7439e-06	Gm6055	0.312641982915265	0.093581
0.00027069	0.0002781	0.0002482	0.00030317	0.0002094	Ampd2	0.386325663033366	0.1751
0.00018424	7.2595e-05	0.00016693	0.00012134	0.00013505	Cipc	0.501316250038861	0.38232
1.5983e-06	1.7764e-06	1.983e-06	1.8245e-06	1.833e-06	Gm6063	0.402497490444177	0.19045
0.00023356	0.00015305	0.00022002	0.00025637	0.00022568	Dfna5	0.429476597195795	0.22646
6.1922e-05	8.4173e-05	5.7097e-05	3.5249e-05	5.8097e-05	Rnf10	0.152999153015526	0.017183
0.00060733	0.00054759	0.00055506	0.00055275	0.00067314	Rnf13	0.653552316109067	0.8944
0.00017155	0.00018243	0.00016149	0.00025298	0.00011563	Rnf14	0.0804636970518803	0.0044221
2.1487e-05	2.0458e-05	1.8904e-05	1.6972e-05	2.0379e-05	Msi1	0.657877637040483	0.91293
0.00011228	8.1629e-05	0.00011729	0.00011919	9.3378e-05	Rab33b	0.629228883083547	0.80319
0.00059608	0.00052915	0.00058318	0.00052111	0.00055416	Gria2	0.604489724732558	0.7207
9.4284e-05	5.9832e-05	7.0356e-05	7.6765e-05	0.00011106	Msi2	0.374877860992441	0.16233
9.7663e-07	9.817e-07	1.0102e-06	1.0538e-06	9.2864e-07	Gm11953	0.626465076393409	0.79388
7.1292e-05	6.9791e-05	7.3431e-05	7.5384e-05	8.6113e-05	Tom1	0.506268902491186	0.39799
8.8809e-05	8.1385e-05	9.3235e-05	0.00010767	5.737e-05	Rnf20	0.481262312958656	0.33002
5.2225e-07	5.5752e-07	4.7661e-07	3.8744e-06	7.694e-07	Gm11960	0.656960223584265	0.90718
1.6978e-07	1.8776e-07	3.1959e-07	2.0084e-07	2.3857e-07	Gm11964	0.173311324813496	0.022473
1.2742e-07	1.4242e-07	2.0431e-07	1.7714e-07	1.5086e-07	Gm11966	0.415490886796328	0.20793
0.00010626	8.1545e-05	0.00011282	8.6056e-05	7.1485e-05	Arl1	0.609632692729273	0.74046
5.4951e-05	5.5281e-05	6.0644e-05	5.9566e-05	5.7156e-05	Arl2	0.598958051199509	0.69454
6.1379e-05	5.528e-05	4.3302e-05	5.903e-05	6.009e-05	Arl3	0.651526575363983	0.88469
0.00021303	0.00021309	0.00014803	0.00021059	0.00024472	Puf60	0.350261373649402	0.13042
9.1646e-05	9.4691e-05	9.2586e-05	8.1648e-05	7.6551e-05	Rnf34	0.608369595756077	0.73585
0.0002344	0.00020466	0.00026571	0.00020037	0.00018492	Frmd4a	0.535732640786828	0.47731
0.00024393	0.00019503	0.00022303	0.00018066	0.00022678	Mgrn1	0.547096451145565	0.52555
0.00012113	0.00012227	5.8833e-05	0.00010431	0.00012265	Elavl1	0.59989369601935	0.69939
0.00020465	0.00021216	0.00027093	0.00023115	0.00019667	Herpud1	0.35823126591117	0.14255
9.1386e-05	7.3987e-05	0.0001224	8.9966e-05	8.6184e-05	Herpud2	0.460726917863786	0.28851
2.2383e-05	2.2445e-05	1.9349e-05	1.0104e-05	1.1915e-05	Rnf44	0.67061740479945	0.96947
6.114e-07	6.6145e-07	4.4112e-07	5.8855e-07	5.251e-07	Gm4929	0.446687388327962	0.25841
4.198e-05	2.9959e-05	2.2033e-05	2.9857e-05	5.4548e-05	Top1	0.272513958148371	0.069133
1.8098e-06	2.6495e-06	2.3228e-06	1.5715e-06	1.9514e-06	Gm11993	0.216516666304447	0.037016
0.00024175	0.00023667	0.00023951	0.00021377	0.00022692	Ndufb10	0.623110329399811	0.7774
0.00011935	0.00011967	0.00010656	0.00013067	0.00011187	Ndufb11	0.434272524062921	0.23753
0.00010499	0.00012525	9.8592e-05	0.00010905	6.9998e-05	3110002H16Rik	0.172848838630029	0.022082
0.00068401	0.0013716	0.0010914	0.00087088	0.00019226	Igfbp2	1.40999856418899e-52	4.1934e-56
6.3391e-05	6.3544e-05	8.8673e-05	7.2148e-05	6.0135e-05	Spred1	0.656960223584265	0.90595
3.5159e-05	5.4492e-05	4.7923e-05	4.8282e-05	2.9831e-05	Arnt	0.548524488799088	0.52839
0.00018311	0.00020935	0.00025904	0.00018118	0.00018941	Tax1bp1	0.639454054258184	0.84013
3.6059e-07	4.7695e-07	3.4749e-07	1.5512e-07	4.7376e-07	Gm4950	0.102129819599894	0.006743
0.00012178	0.00012757	0.00010634	9.0881e-05	0.00010611	Camk2d	0.59212396407855	0.67333
0.00043896	0.00042205	0.00032405	0.00043701	0.00043882	Camk2g	0.655177845096055	0.90061
8.7074e-05	0.0001044	9.8793e-05	8.1023e-05	9.5057e-05	Mmadhc	0.516300212306505	0.42042
0.00017555	0.00017871	0.00026222	0.00020224	0.00015944	Fbxo18	0.53282705625755	0.46625
6.9904e-05	7.0921e-05	0.0001058	0.00010573	7.0447e-05	Fbxo21	0.256600312497629	0.05944
9.6093e-05	9.0932e-05	0.00010767	0.00010562	0.00011578	Arsa	0.560323888137309	0.55926
3.7979e-05	3.1744e-05	5.2992e-05	4.9678e-05	4.7324e-05	Arsb	0.524052703485139	0.43624
0.00020971	0.00013192	0.00013958	0.00017302	0.00021227	Npdc1	0.599227258477044	0.69806
0.00037708	0.00034277	0.00036968	0.00032508	0.00031387	Fbxo44	0.602022600785027	0.71188
7.5133e-05	5.1771e-05	8.6307e-05	7.7717e-05	6.0111e-05	Tox2	0.56441996701663	0.57177
5.9092e-05	5.2941e-05	3.7645e-05	8.2079e-05	7.6682e-05	Tox4	0.425958594683847	0.21992
5.9377e-07	3.7807e-07	2.7489e-07	3.5983e-07	4.8565e-07	Rps27rt	0.591875444380643	0.66538
0.00015044	0.00014688	0.00022441	0.0001596	0.00017997	Bmp2k	0.430846731630501	0.22954
1.8556e-06	1.8491e-06	1.276e-06	1.6537e-06	1.4942e-06	Tpm3-rs7	0.626271136584358	0.78685
0.0013436	0.001248	0.0012255	0.001192	0.0012845	Grina	0.56441996701663	0.57737
5.5466e-05	5.5985e-05	7.6417e-05	6.8949e-05	6.5466e-05	Cdkn1b	0.58167716091312	0.63123
0.00014305	0.00013351	0.00010179	0.0001428	0.00012587	AI413582	0.344329508891386	0.12688
2.5578e-06	2.493e-06	2.3373e-06	2.8366e-06	2.4973e-06	Bnip3l-ps	0.522866476967137	0.43191
7.8826e-06	1.0829e-05	1.1887e-05	1.1331e-05	7.3065e-06	Timm8a1	0.228105572193241	0.044751
0.00012169	0.00012052	0.00020869	0.00014908	0.00010984	Spire1	0.550559543440867	0.53503
3.7068e-05	4.6128e-05	2.363e-05	1.8907e-05	3.5543e-05	Gm13111	0.524672379434862	0.43738
3.9265e-06	3.1163e-06	4.3138e-06	5.87e-06	5.8111e-06	Gm13127	0.194535644755041	0.030416
1.7395e-05	1.4023e-05	1.6306e-05	1.3599e-05	1.6149e-05	Dcaf6	0.496605075910394	0.36884
0.00016864	0.00013461	0.00014452	0.00018971	0.00012516	Dcaf8	0.501316250038861	0.38113
4.6656e-05	2.8039e-05	2.103e-05	3.734e-05	5.2897e-05	Eapp	0.568513210390584	0.59021
0.00015117	0.00016671	0.00023472	0.00014479	0.00016447	Xpnpep1	0.349600632831954	0.13007
0.00015583	0.00016177	0.00022873	0.00019812	0.00014495	Asb8	0.367307418915141	0.15491
9.7938e-05	8.9795e-05	8.6922e-05	7.7733e-05	8.6678e-05	Ndufab1	0.56441996701663	0.57617
7.9102e-05	9.3941e-05	8.9721e-05	9.1689e-05	8.768e-05	Mta2	0.568513210390584	0.59076
8.5106e-05	8.2083e-05	6.3788e-05	6.0143e-05	9.0626e-05	Akr7a5	0.562625652609713	0.56724
0.00043764	0.00040885	0.00040922	0.00042101	0.00049209	Entpd2	0.383334087890562	0.17192
9.4079e-05	0.00010304	0.00011585	8.5847e-05	0.00011315	Entpd6	0.367307418915141	0.155
9.9361e-05	8.2132e-05	3.644e-05	8.4263e-05	9.4669e-05	Clptm1l	0.336674883387086	0.11668
4.48e-06	4.5524e-06	5.0371e-06	4.186e-06	4.414e-06	Gm6123	0.539843742542047	0.50024
6.5343e-06	6.3356e-06	5.7782e-06	5.4272e-06	5.2996e-06	Gm28437	0.0471680733019581	0.0017535
1.6445e-06	1.2878e-06	1.6715e-06	1.3885e-06	1.029e-06	Gm28439	0.0655000048418979	0.0029056
0.00015955	0.00011999	0.00013312	0.00018116	0.00019442	Mbnl1	0.295239441172198	0.082186
9.5896e-05	8.9742e-05	0.00017138	0.00012818	8.7996e-05	Mbnl2	0.0919415712152433	0.0055211
6.4512e-06	7.981e-06	7.4933e-06	7.8913e-06	5.6452e-06	Gm6136	0.285485034333307	0.07645
2.0054e-05	2.3072e-05	2.382e-05	1.0632e-05	1.898e-05	Ndufaf2	0.558254932058872	0.55305
4.7627e-05	4.3168e-05	1.6555e-05	3.269e-05	4.4495e-05	Ndufaf3	0.260778800677363	0.062123
8.3402e-05	9.6005e-05	8.9898e-05	9.3016e-05	8.6295e-05	Ndufaf4	0.306301396432038	0.089528
7.827e-05	8.5291e-05	5.9952e-05	5.1521e-05	6.0837e-05	Ndufaf7	0.522866476967137	0.43273
8.6273e-06	9.8986e-06	1.0509e-05	6.5737e-06	7.2725e-06	Gm21811	0.35075214471095	0.13102
5.4306e-05	6.013e-05	4.9005e-05	4.803e-05	6.4887e-05	Dcakd	0.489358087089643	0.3543
0.00077401	0.00069954	0.00077759	0.00072711	0.00078783	Tpi1	0.488543583958618	0.35146
0.00010709	8.7919e-05	7.7319e-05	9.4825e-05	0.00010938	Mtdh	0.612015263496736	0.74475
6.027e-05	5.2686e-05	9.4177e-05	7.4631e-05	7.5465e-05	Ncaph2	0.330702135602698	0.11222
0.00084413	0.00083569	0.00099526	0.00080945	0.00090705	Cs	0.63810438708013	0.83558
0.00014071	0.00011757	0.0001023	0.00013176	0.00012918	Caprin1	0.59989369601935	0.69955
0.0032439	0.0031599	0.003839	0.0031082	0.0028942	F3	0.239946523487419	0.050311
4.8711e-05	4.6168e-05	5.1227e-05	5.4703e-05	5.3894e-05	Banf1	0.617890989772718	0.7599
2.5004e-06	2.4554e-06	2.3872e-06	2.3013e-06	1.9412e-06	Gm6166	0.481090819527089	0.32724
7.6869e-05	6.8786e-05	6.9307e-05	6.7498e-05	6.3216e-05	Lin52	0.539561481127996	0.49468
6.8014e-07	7.3046e-07	5.9077e-07	6.4083e-07	6.3423e-07	Gm6170	0.637682497864054	0.8337
7.1982e-06	7.1631e-06	6.8344e-06	7.2855e-06	6.3691e-06	Gm6180	0.601143537893914	0.7078
0.00018544	0.00010698	9.4546e-05	0.00019716	0.00016017	Tpm3	0.335286597112634	0.11577
0.00023052	0.00023647	0.00020426	0.00017983	0.00015467	Gk	0.255544166734304	0.057929
7.1612e-05	5.6598e-05	6.0794e-05	0.0001084	7.4047e-05	Pgpep1	0.0843162654303028	0.0047946
0.00010974	6.8267e-05	8.5075e-05	7.7296e-05	9.0244e-05	Lin7c	0.614864088837778	0.75346
9.6589e-05	8.5469e-05	8.5179e-05	0.00010176	7.2999e-05	Ik	0.643946561643629	0.85475
4.4761e-05	4.8319e-05	2.4285e-05	3.7362e-05	4.6627e-05	Impad1	0.666148936394289	0.94838
6.5552e-05	6.6225e-05	4.3396e-05	5.052e-05	6.435e-05	Tpmt	0.648065812632248	0.87156
0.0015415	0.0019811	0.0019028	0.0017457	0.0012954	Btbd17	0.000637627528312042	5.1201e-06
0.0005805	0.000577	0.00053854	0.00054881	0.00060348	Tpp1	0.643222479425819	0.84936
8.4404e-05	0.00010444	7.2164e-05	7.2666e-05	6.5061e-05	Tpp2	0.433936337774234	0.23607
0.00024683	0.00016421	0.00014614	0.00025047	0.00028237	Impact	0.401072390526212	0.18906
7.4038e-05	9.1243e-05	5.617e-05	7.5291e-05	6.6361e-05	Chordc1	0.565378409531277	0.58227
1.945e-05	1.5108e-05	2.1323e-05	1.1298e-05	1.9685e-05	Hopx	0.239946523487419	0.050381
0.00072369	0.00078033	0.00079052	0.00084485	0.00075637	Calm1	0.281964822042316	0.074725
0.00020106	0.00020391	0.00015598	0.00025715	0.00018192	Calm2	0.258745465033308	0.060959
8.7884e-05	8.6003e-05	6.5602e-05	9.8546e-05	7.4021e-05	Calm3	0.429476597195795	0.22492
0.00018056	0.00018184	0.00021892	0.00021281	0.00020905	Plxnb1	0.561841741881105	0.56522
7.8552e-05	0.00013383	8.1875e-05	9.5306e-05	8.9911e-05	Plxnb2	0.102934009037542	0.0070054
0.00057257	0.00067685	0.00066672	0.00053607	0.00057764	Pnisr	0.313946922712268	0.095247
0.00016004	0.00013222	0.00011815	0.00018864	0.00013345	Asph	0.603676384218756	0.71599
4.4952e-05	4.401e-05	6.7219e-05	4.5617e-05	5.2596e-05	Tpt1	0.221496279665637	0.041303
1.0063e-05	9.4879e-06	4.1511e-06	7.3463e-06	8.8276e-06	Grin2b	0.377967966145607	0.16574
0.00030501	0.00031083	0.00027007	0.00028529	0.00023194	Grin2c	0.496605075910394	0.37031
6.8057e-05	3.6378e-05	4.5806e-05	5.3192e-05	3.3592e-05	Mtor	0.608572183858901	0.73683
6.2401e-05	5.7266e-05	3.8611e-05	4.8678e-05	6.7736e-05	Mgst1	0.460207710216614	0.28797
0.00031567	0.00041845	0.00033426	0.00029959	0.00036858	Bhlhe40	0.423373789471656	0.21783
0.00041234	0.00039434	0.00035315	0.00036981	0.00034537	Bhlhe41	0.511296447659107	0.40775
0.00018656	0.00018544	0.00019759	0.00021	0.00018435	Mtpn	0.525477491823568	0.43842
6.1545e-05	6.5444e-05	6.8493e-05	7.2091e-05	7.8233e-05	Tenm3	0.130006605144892	0.01193
0.00081353	0.00078636	0.00084471	0.00078361	0.00082207	Qk	0.663755213291902	0.93809
7.1111e-05	6.4037e-05	7.2703e-05	5.9574e-05	7.5998e-05	Zc3h15	0.604260593833965	0.71817
0.00011649	0.00012235	0.00010723	0.00011207	0.0001167	Sec14l1	0.662700082922025	0.93263
1.4652e-05	9.9591e-06	1.1974e-05	2.0345e-05	1.4301e-05	Sec14l2	0.130006605144892	0.012213
